# Results:  	200 matching objects
# Constraints:  	asteroids and PHAs and orbital class (IEO or IMB or TNO or ATE or MBA or 
#			APO or OMB or AMO or TJN or AST or MCA or CEN) and 
#			diameter >= 0.2 (km) 
# SPK-ID|object fullname |prim. desig.| IAU name|Diameter
#
2003361|3361 Orpheus (1982 HR)|3361|Orpheus|0.3
2152671|152671 (1998 HL3)|152671||0.298
2390725|390725 (2003 HB)|390725||0.293
2252399|252399 (2001 TX44)|252399||0.291
3512281|(2010 FQ)|2010 FQ||0.285
3511355|(2010 DJ77)|2010 DJ77||0.277
3553986|(2010 XP69)|2010 XP69||0.273
3163755|(2003 UV11)|2003 UV11||0.260
3370167|(2007 EF)|2007 EF||0.260
2141432|141432 (2002 CQ11)|141432||0.239
3541751|(2010 ON101)|2010 ON101||0.238
2490581|490581 (2009 WZ104)|490581||0.237
2371660|371660 (2007 CN26)|371660||0.230
2441987|441987 (2010 NY65)|441987||0.228
2462238|462238 (2008 CN1)|462238||0.227
3520666|(2010 JV34)|2010 JV34||0.226
3515066|(2010 GT7)|2010 GT7||0.216
3521439|(2010 JN71)|2010 JN71||0.214
3544935|(2010 PW58)|2010 PW58||0.213
2365424|365424 (2010 KX7)|365424||0.212
3520202|(2010 JK33)|2010 JK33||0.208
2041429|41429 (2000 GE2)|41429||0.204
2333578|333578 (2006 KM103)|333578||0.204
3515065|(2010 GS7)|2010 GS7||0.203
2483508|483508 (2003 CR1)|483508||0.202
2423321|423321 (2005 ED318)|423321||0.202
3514799|(2010 FH81)|2010 FH81||0.200
